,Local_Active,Local_New,Local_Incidence,FL_Active,FL_New,FL_Incidence,Test_Rate,Holidays,Beaches,Bars,Safer_At_Home,Restaurants,METier,Masks
96,438,68,96.05263157894737,48967.0,8903.0,227.9655493482309,8235.900271988618,0,0,8,0,7,4,14
97,444,31,97.36842105263159,56518.0,9561.0,263.1191806331471,8518.239142233653,0,1,9,0,7,4,14
98,500,65,109.64912280701755,63268.0,8501.0,294.5437616387337,8762.082336700556,0,2,10,0,7,4,14
99,538,51,117.98245614035089,65778.0,5238.0,306.2290502793296,8905.700819411282,0,3,11,0,7,4,14
100,691,173,151.53508771929825,69228.0,6035.0,322.29050279329607,9055.865615637253,0,4,12,0,7,4,14
101,736,74,161.40350877192984,72582.0,6518.0,337.9050279329609,9220.496554176076,0,5,13,0,7,4,14
102,851,159,186.62280701754386,78845.0,10042.0,367.0623836126629,9461.811549326636,0,6,14,0,7,4,14
103,944,121,207.01754385964915,84257.0,9421.0,392.25791433891993,9690.778874887983,1,7,14,0,7,4,14
104,1075,142,235.74561403508773,92220.0,11440.0,429.32960893854744,9994.055705216988,2,7,14,0,7,4,14
105,1134,91,248.6842105263158,99336.0,10030.0,462.45810055865917,10244.09135841453,3,7,14,0,7,4,14
106,1164,52,255.26315789473688,102404.0,6289.0,476.7411545623836,10401.18891482841,4,7,14,0,7,5,14
107,1225,108,268.640350877193,104220.0,7284.0,485.19553072625695,10565.330975046394,5,7,14,0,7,5,14
108,1241,106,272.1491228070176,109203.0,9941.0,508.3938547486033,10802.846687246429,6,7,14,0,7,5,14
109,1298,125,284.6491228070176,109115.0,8815.0,507.98417132216014,10976.007388487902,7,7,14,0,7,5,14
110,1437,170,315.13157894736844,110894.0,11340.0,516.266294227188,11275.056585337645,8,7,14,0,7,6,14
111,1530,158,335.5263157894737,112658.0,10265.0,524.4785847299813,11524.952559014946,9,7,14,0,7,6,14
112,1846,367,404.8245614035088,122675.0,15255.0,571.1126629422719,11984.535428476473,10,7,14,0,7,6,14
113,1842,169,403.94736842105266,129229.0,12589.0,601.6247672253259,12289.814331928916,11,7,14,0,7,6,14
